,observation,fips,year,price,pop,pop16,cpi,ndi,sales,pimin,state,adjusted_price,adjusted_min_price,adjusted_ndi,ndi_by_100
0,1,1,1963,28.6,3383.0,2236.5,30.6,1558.3045298,93.9,26.1,AL,2.24534300654,2.04907176471,12234.0146085,122.340146085
1,2,1,1964,29.8,3431.0,2276.7,31.0,1684.0732025,95.4,27.5,AL,2.30936541935,2.13112580645,13050.8067702,130.508067702
2,3,1,1965,29.8,3486.0,2327.5,31.5,1809.8418752,98.5,28.9,AL,2.2727088254,2.20406996825,13802.8308803,138.028308803
3,4,1,1966,31.5,3524.0,2369.7,32.4,1915.1603572,96.4,29.5,AL,2.33562777778,2.18733395062,14200.3229498,142.003229498
4,5,1,1967,31.6,3533.0,2393.7,33.4,2023.5463678,95.5,29.6,AL,2.27289149701,2.12903760479,14554.7510543,145.547510543
5,6,1,1968,35.6,3522.0,2405.2,34.8,2202.4855362,88.4,32.0,AL,2.45758666667,2.20906666667,15204.4918182,152.044918182
6,7,1,1969,36.6,3531.0,2411.9,36.7,2377.3346665,90.1,32.8,AL,2.39581405995,2.14706833787,15561.8902164,155.618902164
7,8,1,1970,39.6,3444.0,2394.6,38.8,2591.0391591,89.8,34.3,AL,2.45189319588,2.1237357732,16042.8062739,160.428062739
8,9,1,1971,42.7,3481.0,2443.5,40.5,2785.3159706,95.4,35.8,AL,2.5328585679,2.12356760494,16521.8066053,165.218066053
9,10,1,1972,42.3,3511.0,2484.7,41.8,3034.8082969,101.1,37.4,AL,2.43109636364,2.14948,17441.8709573,174.418709573
10,11,1,1973,42.1,3540.0,2526.0,44.4,3387.5740861,102.9,37.3,AL,2.27791342342,2.01819882883,18329.2173006,183.292173006
11,12,1,1974,43.1,3574.0,2573.9,49.3,3718.8671751,108.2,41.4,AL,2.10023764706,2.01739764706,18121.8209874,181.218209874
12,13,1,1975,46.6,3614.0,2623.7,53.8,4087.9931169,111.7,43.0,AL,2.08085457249,1.92010185874,18254.332982,182.54332982
13,14,1,1976,50.4,3657.0,2677.4,56.9,4486.7718352,116.2,46.4,AL,2.12792520211,1.95904224956,18943.4818735,189.434818735
14,15,1,1977,50.1,3690.0,2719.6,60.6,4899.8656869,117.1,48.8,AL,1.98610950495,1.93457372937,19424.4906462,194.244906462
15,16,1,1978,55.1,3728.0,2764.6,65.2,5450.9983257,123.0,53.6,AL,2.03021527607,1.97494625767,20084.7551192,200.847551192
16,17,1,1979,56.8,3769.0,2810.7,72.6,,121.4,56.5,AL,1.8795323416,1.86960523416,,
17,18,1,1980,60.6,3894.0,2898.9,82.4,6466.350293,123.2,59.3,AL,1.76678417476,1.72888286408,18852.5501091,188.525501091
18,19,1,1981,68.8,3917.0,2924.7,90.9,7042.0231606,119.6,62.6,AL,1.81828787679,1.65443053905,18611.0833444,186.110833444
19,20,1,1982,73.1,3943.0,2953.5,96.5,7505.2199795,119.1,67.8,AL,1.81981881865,1.68787573057,18684.1868082,186.841868082
20,21,1,1983,84.4,3959.0,2977.5,99.6,7974.5518556,,78.6,AL,2.03573477912,1.89583831325,19234.6831283,192.346831283
21,22,1,1984,90.8,3990.0,3009.1,103.9,8693.376058,113.0,86.8,AL,2.09946379211,2.00697640038,20100.6919217,201.006919217
22,23,1,1985,99.0,4020.0,3039.8,107.6,9059.4344712,114.5,90.7,AL,2.21034981413,2.02503765799,20226.7871712,202.267871712
23,24,1,1986,103.0,4050.0,3072.4,109.6,9674.9852107,116.3,98.8,AL,2.25769233577,2.16563109489,21206.9319989,212.069319989
24,25,1,1987,110.0,4083.0,3104.0,113.6,10213.847735,114.0,103.5,AL,2.32622887324,2.18876989437,21599.7704618,215.997704618
25,26,1,1988,114.4,4102.0,3124.0,118.3,10993.0,112.1,109.2,AL,2.32316131868,2.21756307692,22323.8744548,223.238744548
26,27,1,1989,122.3,4118.0,3140.0,124.0,11634.0,105.6,121.5,AL,2.36942441935,2.35392532258,22539.5614839,225.395614839
27,28,1,1990,139.1,4129.2,3148.6,130.7,12806.0,108.6,132.3,AL,2.55675804132,2.43176915073,23538.349013,235.38349013
28,29,1,1991,144.4,4178.3,3185.1,136.2,13360.0,107.9,137.4,AL,2.54699547724,2.4235261674,23564.9997063,235.649997063
29,30,1,1992,172.2,4226.3,3226.7,140.3,14533.0,109.1,159.5,AL,2.94858440485,2.73112202423,24884.8880114,248.848880114
60,61,4,1963,27.0,1907.0,1296.7,30.6,1480.3334935,103.4,25.8,AZ,2.11972941176,2.02551921569,11621.8757237,116.218757237
61,62,4,1964,27.3,1939.0,1320.7,31.0,1610.0797693,102.6,25.7,AZ,2.11562670968,1.99163393548,12477.3910793,124.773910793
62,63,4,1965,27.2,1941.0,1323.6,31.5,1710.1989428,100.3,26.1,AZ,2.07441879365,1.99052685714,13042.9001023,130.429001023
63,64,4,1966,30.3,1963.0,1344.8,32.4,1883.8750601,98.9,26.2,AZ,2.24665148148,1.9426491358,13968.3521277,139.683521277
64,65,4,1967,30.4,1972.0,1357.3,33.4,2004.4267179,102.9,27.5,AZ,2.18657916168,1.97799101796,14417.2292515,144.172292515
65,66,4,1968,30.9,1983.0,1374.6,34.8,2143.3676117,104.0,29.2,AZ,2.13313,2.01577333333,14796.3810794,147.963810794
66,67,4,1969,30.9,1995.0,1389.0,36.7,2286.3950024,102.9,29.9,AZ,2.02269547684,1.95723607629,14966.6046266,149.666046266
67,68,4,1970,36.7,1923.0,1366.9,38.8,2493.7847189,100.3,34.3,AZ,2.27233536082,2.1237357732,15440.6408693,154.406408693
68,69,4,1971,38.8,1961.0,1405.4,40.5,2710.3690533,104.1,36.8,AZ,2.30152019753,2.1828851358,16077.2399972,160.772399972
69,70,4,1972,44.1,1999.0,1442.9,41.8,2950.4507448,103.9,37.4,AZ,2.53454727273,2.14948,16957.0450988,169.570450988
70,71,4,1973,45.1,2030.0,1474.6,44.4,3410.1816434,108.0,37.3,AZ,2.44023504505,2.01819882883,18451.5404794,184.515404794
71,72,4,1974,45.5,2063.0,1508.3,49.3,3807.5934647,109.7,38.0,AZ,2.21718823529,1.85171764706,18554.1789774,185.541789774
72,73,4,1975,48.6,2112.0,1552.5,53.8,4057.8913984,114.8,43.0,AZ,2.17016163569,1.92010185874,18119.9181782,181.199181782
73,74,4,1976,50.9,2113.0,1565.1,56.9,4362.3354157,119.1,44.7,AZ,2.14903557118,1.88726699473,18418.1021252,184.181021252
74,75,4,1977,52.6,2143.0,1596.8,60.6,4859.8664104,122.6,45.9,AZ,2.08521676568,1.81960930693,19265.9218972,192.659218972
75,76,4,1978,56.5,2167.0,1623.7,65.2,5467.7328208,127.3,49.9,AZ,2.08179969325,1.83861601227,20146.4150604,201.464150604
76,77,4,1979,58.4,2180.0,1641.0,72.6,6015.3234022,126.5,52.2,AZ,1.9324769146,1.72731669421,19904.9205627,199.049205627
77,78,4,1980,61.5,2286.0,1715.1,82.4,6278.9024507,131.8,57.3,AZ,1.79302354369,1.67057315534,18306.0486547,183.060486547
78,79,4,1981,64.7,2296.0,1725.7,90.9,7101.3099471,128.7,59.9,AZ,1.70993060506,1.58307331133,18767.770038,187.67770038
79,80,4,1982,72.1,2291.0,1724.7,96.5,7390.4296012,127.4,64.7,AZ,1.79492389637,1.6107014715,18398.4170536,183.984170536
80,81,4,1983,82.0,2328.0,1757.4,99.6,7886.9389716,128.0,74.8,AZ,1.97784658635,1.80418200803,19023.3601484,190.233601484
81,82,4,1984,93.6,2349.0,1776.7,103.9,8546.9082172,123.1,84.8,AZ,2.16420496631,1.96073270452,19762.0312076,197.620312076
82,83,4,1985,98.5,2359.0,1790.1,107.6,9134.3421432,125.8,92.5,AZ,2.19918643123,2.06522583643,20394.0317762,203.940317762
83,84,4,1986,103.6,2371.0,1804.6,109.6,9550.1432004,126.0,98.8,AZ,2.27084394161,2.16563109489,20933.2865136,209.332865136
84,85,4,1987,113.0,2388.0,1819.0,113.6,9886.2575685,122.3,103.5,AZ,2.38967147887,2.18876989437,20906.9980038,209.069980038
85,86,4,1988,119.9,2395.0,1823.0,118.3,10630.0,121.5,112.1,AZ,2.43485176669,2.27645440406,21586.7174979,215.867174979
86,87,4,1989,127.7,2406.0,1831.0,124.0,11243.0,118.3,118.9,AZ,2.47404332258,2.30355325806,21782.043129,217.82043129
87,88,4,1990,141.2,2411.1,1834.9,130.7,12370.0,113.1,129.1,AZ,2.59535755164,2.37295084927,22736.9496557,227.369496557
88,89,4,1991,146.5,2432.7,1851.2,136.2,12917.0,116.8,132.5,AZ,2.58403627019,2.33709765051,22783.6153598,227.836153598
89,90,4,1992,177.3,2460.4,1876.7,140.3,13879.0,126.0,153.1,AZ,3.03591181753,2.62153468282,23765.0423664,237.650423664
90,91,5,1963,25.3,17556.0,12072.0,30.6,2776.0965615,142.0,23.9,AR,1.98626496732,1.8763530719,21794.7167826,217.947167826
91,92,5,1964,25.5,18003.0,12384.3,31.0,2974.9294798,138.3,24.0,AR,1.97613483871,1.8598916129,23054.3599519,230.543599519
92,93,5,1965,25.3,18403.0,12673.3,31.5,3107.8449633,140.0,24.2,AR,1.92951453968,1.84562260317,23702.1029398,237.021029398
93,94,5,1966,25.5,18669.0,12898.5,32.4,3296.9523585,136.8,29.6,AR,1.8907462963,2.19474864198,24445.8841604,244.458841604
94,95,5,1967,26.0,18992.0,13181.8,33.4,3462.2862526,135.8,29.2,AR,1.8701005988,2.10026682635,24903.16767,249.0316767
95,96,5,1968,35.4,19179.0,13370.3,34.8,3690.2957405,124.3,31.3,AR,2.44378,2.16074333333,25475.3415953,254.753415953
96,97,5,1969,36.6,19443.0,13681.6,36.7,3919.3858421,123.9,33.3,AR,2.39581405995,2.17979803815,25656.0647728,256.560647728
97,98,5,1970,38.8,19953.0,14317.6,38.8,4192.7811049,123.0,37.1,AR,2.40236,2.29710195876,25960.2309669,259.602309669
98,99,5,1971,39.7,20266.0,14670.5,40.5,4414.3069107,121.0,38.5,AR,2.35490597531,2.28372493827,26184.5786419,261.845786419
99,100,5,1972,39.9,20447.0,14938.3,41.8,4650.9613081,123.5,38.0,AR,2.29316181818,2.18396363636,26730.3430816,267.303430816
100,101,5,1973,39.9,20670.0,15243.7,44.4,5103.7384429,124.4,38.7,AR,2.15887756757,2.09394891892,27614.9033461,276.149033461
101,102,5,1974,41.9,20915.0,15566.6,49.3,5607.304421,126.7,39.2,AR,2.04176235294,1.91019294118,27324.0646021,273.240646021
102,103,5,1975,45.0,21216.0,15933.0,53.8,6138.9663549,127.1,44.5,AR,2.00940892193,1.98708215613,27412.6528111,274.126528111
103,104,5,1976,48.3,21550.0,16318.7,56.9,6630.6455824,128.0,44.9,AR,2.03926165202,1.89571114236,27995.0750814,279.950750814
104,105,5,1977,49.0,21900.0,16697.6,60.6,7234.7086333,126.4,48.7,AR,1.94250231023,1.93060943894,28680.4861919,286.804861919
105,106,5,1978,58.7,22314.0,17117.2,65.2,8021.3953973,126.1,53.6,AR,2.16286092025,1.97494625767,29555.6433231,295.556433231
106,107,5,1979,60.1,22694.0,17481.6,72.6,8957.2068501,121.9,57.1,AR,1.98873052342,1.88945944904,29639.7182485,296.397182485
107,108,5,1980,62.1,23669.0,20853.4,82.4,9891.9376893,120.2,60.8,AR,1.81051645631,1.77261514563,28839.8002758,288.398002758
108,109,5,1981,66.4,24196.0,18670.6,90.9,10816.943005,118.6,63.3,AR,1.75485922992,1.67293056106,28587.6690841,285.876690841
109,110,5,1982,72.8,24724.0,19064.1,96.5,11361.572303,115.4,71.6,AR,1.81235034197,1.78247643523,28284.5459459,282.845459459
110,111,5,1983,84.9,25174.0,19419.8,99.6,12027.230334,110.8,80.5,AR,2.04779481928,1.94166646586,29009.7761699,290.097761699
111,112,5,1984,94.9,25622.0,19776.5,103.9,13019.233699,104.8,92.8,AR,2.19426336862,2.14570748797,30102.8741763,301.028741763
112,113,5,1985,98.0,26358.0,20215.4,107.6,13755.13162,102.8,98.8,AR,2.18802304833,2.20588446097,30710.7602218,307.107602218
113,114,5,1986,104.4,27001.0,20695.9,109.6,14350.549761,99.7,106.6,AR,2.28837941606,2.3366019708,31455.4623393,314.554623393
114,115,5,1987,103.9,27663.0,21156.0,113.6,15016.207792,97.5,113.5,AR,2.19722890845,2.40024524648,31755.5783021,317.555783021
115,116,5,1988,117.4,28314.0,21591.0,118.3,16059.0,90.1,113.5,AR,2.38408338123,2.30488469992,32611.5800845,326.115800845
116,117,5,1989,126.4,29063.0,22081.0,124.0,16779.0,82.4,125.6,AR,2.44885729032,2.43335819355,32507.4180968,325.074180968
117,118,5,1990,163.8,29602.1,22490.6,130.7,17384.0,77.8,130.2,AR,3.01076180566,2.3931696404,31953.0422647,319.530422647
118,119,5,1991,186.8,30218.8,22694.0,136.2,17705.0,68.7,151.4,AR,3.2948667254,2.67046478708,31228.9161527,312.289161527
119,120,5,1992,201.9,30703.3,22920.0,140.3,18495.0,67.5,165.7,AR,3.45713816108,2.83728476123,31669.0293656,316.690293656
150,151,8,1963,26.8,480.0,317.7,30.6,2261.4623685,165.8,26.8,CO,2.10402771242,2.10402771242,17754.4010967,177.544010967
151,152,8,1964,27.1,494.0,326.3,31.0,2325.3400998,170.9,28.5,CO,2.1001276129,2.20862129032,18020.3356199,180.203356199
152,153,8,1965,27.2,503.0,332.1,31.5,2529.3674804,170.8,27.9,CO,2.07441879365,2.12780457143,19290.321461,192.90321461
153,154,8,1966,31.0,514.0,343.6,32.4,2691.4453062,161.3,28.2,CO,2.29855432099,2.09094296296,19956.2362525,199.562362525
154,155,8,1967,30.7,524.0,353.2,33.4,2864.0105206,158.2,29.4,CO,2.20815724551,2.11465221557,20599.9530367,205.999530367
155,156,8,1968,32.0,533.0,359.0,34.8,3061.3641084,164.8,30.9,CO,2.20906666667,2.13313,21133.616895,211.33616895
